|cd_ugestora|de_ugestora|dt_ano|cd_receitaorcug|de_receitaorcug|tp_atualizacaoreceita|de_atualizacaoreceita|vl_lancamentoOrc|dt_mesano
487846|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|112414.55|2007-01-01
487847|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|96588.89|2007-02-01
487848|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|112195.04|2007-03-01
487849|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|96514.83|2007-04-01
487850|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|100358.0|2007-05-01
487851|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|114364.74|2007-06-01
487852|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|108789.84|2007-07-01
487853|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|114360.28|2007-08-01
487854|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|95640.12|2007-09-01
487855|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|220944.37|2007-10-01
487856|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|208370.98|2007-11-01
487857|201095|Prefeitura Municipal de João Pessoa|2007|13250000|RECEITA DE REMUNERACAO DE DEPOSITOS BANCÁRIOS - RECURSOS DIRETAMENTE ARRECADADOS|1|Lançamento de receita|198872.39|2007-12-01
487858|201095|Prefeitura Municipal de João Pessoa|2007|13250299|REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NÃO VINCULADOS|1|Lançamento de receita|6976.34|2007-01-01
487859|201095|Prefeitura Municipal de João Pessoa|2007|13250299|REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NÃO VINCULADOS|1|Lançamento de receita|6112.94|2007-02-01
487860|201095|Prefeitura Municipal de João Pessoa|2007|13250299|REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NÃO VINCULADOS|1|Lançamento de receita|8791.64|2007-03-01
487861|201095|Prefeitura Municipal de João Pessoa|2007|13250299|REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NÃO VINCULADOS|1|Lançamento de receita|8667.66|2007-04-01
489824|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|1025079.47|2007-01-01
489825|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|769787.35|2007-02-01
