CODIGOFATURA,DATAFATURA,DATAPAGAMENTO,VALOR,CODIGOITEM,QUANTIDADE,SUBTOTAL,PRECOUNITARIO,VENDEDOR,CLIENTE,PRODUTO
69,09/05/2011,11/05/2011,"2519,07",289,1,"8,99","8,99",Maria  Yang,Truing Tecnologia,Cooler Master Red LED Case Fan
61,23/04/2011,26/04/2011,"986,3",259,1,"200,2","200,2",Maria  Yang,Kaify,PCI Express 2.0 2DVI
176,22/11/2011,25/11/2011,"570,16",675,1,399,399,Maria  Yang,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
114,21/07/2011,25/07/2011,"1096,95",464,2,798,399,Emili  Mcdonald,Truing Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
26,01/03/2011,03/03/2011,"2399,8",133,2,"17,98","8,99",Maria  Yang,Truing Tecnologia,Cooler Master Red LED Case Fan
14,05/02/2011,09/02/2011,"3917,35",79,2,"400,4","200,2",Emili  Mcdonald,Truing Tecnologia,PCI Express 2.0 2DVI
36,16/03/2011,17/03/2011,"2472,45",172,1,"61,98","61,98",Emili  Mcdonald,Spoint Sistemas de Informação,ATX Motherboard
153,22/10/2011,25/10/2011,"492,74",603,1,"200,2","200,2",Maria  Yang,Digister,PCI Express 2.0 2DVI
15,07/02/2011,11/02/2011,"2472,45",88,1,"749,99","749,99",Emili  Mcdonald,Roozio Informática,GeForce GTX 590 Classified
99,29/06/2011,01/07/2011,"2472,45",401,1,399,399,Maria  Yang,Triloo Assistência Técnica,i7-2700K 3.5 GHz LGA 1155 Processor
161,27/10/2011,29/10/2011,"479,96",628,2,78,39,Maria  Yang,Levester Tecnologia,USB Portable Sound Card / Dac
164,29/10/2011,02/11/2011,"693,48",634,1,39,39,Maria  Yang,Roozio Informática,USB Portable Sound Card / Dac
18,14/02/2011,16/02/2011,"774,97",102,1,"749,99","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
132,30/08/2011,02/09/2011,"-1991,94",526,2,"17,98","8,99",Benedito  Perry,Truing Tecnologia,Cooler Master Red LED Case Fan
56,10/04/2011,14/04/2011,"1159,19",243,1,"49,99","49,99",Maria  Yang,Truing Tecnologia,Inch Midtower Case
6,17/01/2011,18/01/2011,"4784,35",39,1,"49,99","49,99",Emili  Mcdonald,Truing Tecnologia,Inch Midtower Case
3,15/01/2011,18/01/2011,14228,14,2,798,399,Maria  Yang,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
91,15/06/2011,18/06/2011,"3135,46",370,2,"99,98","49,99",José  Gardner,Kaify,Inch Midtower Case
85,07/06/2011,09/06/2011,"1547,97",347,1,"200,2","200,2",Maria  Yang,Agilvee,PCI Express 2.0 2DVI
185,08/12/2011,11/12/2011,"1570,57",705,1,39,39,Emili  Mcdonald,Roozio Informática,USB Portable Sound Card / Dac
33,14/03/2011,17/03/2011,"3962,28",159,2,78,39,José  Gardner,Kaify,USB Portable Sound Card / Dac
178,25/11/2011,01/12/2011,"2646,8",686,1,"61,98","61,98",José  Gardner,Kaify,ATX Motherboard
175,18/11/2011,22/11/2011,"427,82",672,1,"749,99","749,99",Aladdin  Blackwell,Triloo Assistência Técnica,GeForce GTX 590 Classified
188,17/12/2011,18/12/2011,"427,82",720,1,39,39,Maria  Yang,Spoint Sistemas de Informação,USB Portable Sound Card / Dac
19,17/02/2011,23/02/2011,"930,47",110,1,"200,2","200,2",Maria  Yang,Kaify,PCI Express 2.0 2DVI
143,21/09/2011,23/09/2011,"419,98",566,2,"123,96","61,98",Benedito  Perry,Kaify,ATX Motherboard
142,21/09/2011,22/09/2011,"2151,09",560,2,"400,4","200,2",Emili  Mcdonald,Kaify,PCI Express 2.0 2DVI
134,01/09/2011,04/09/2011,"3584,46",528,2,"123,96","61,98",José  Gardner,Kaify,ATX Motherboard
3,15/01/2011,18/01/2011,14228,16,2,798,399,Maria  Yang,Digister,i7-2700K 3.5 GHz LGA 1155 Processor
71,13/05/2011,19/05/2011,"1044,58",297,1,39,39,Emili  Mcdonald,Agilvee,USB Portable Sound Card / Dac
124,05/08/2011,08/08/2011,"1681,68",497,1,"61,98","61,98",Emili  Mcdonald,Digister,ATX Motherboard
122,03/08/2011,06/08/2011,"2594,5",487,2,"123,96","61,98",Maria  Yang,Truing Tecnologia,ATX Motherboard
43,31/03/2011,01/04/2011,"1148,41",197,2,"400,4","200,2",Emili  Mcdonald,Truing Tecnologia,PCI Express 2.0 2DVI
4,16/01/2011,19/01/2011,"1478,64",24,2,"400,4","200,2",Maria  Yang,Tadoo,PCI Express 2.0 2DVI
182,03/12/2011,07/12/2011,"1040,95",697,2,"400,4","200,2",Maria  Yang,Roozio Informática,PCI Express 2.0 2DVI
149,07/10/2011,09/10/2011,"839,4",586,2,"1499,98","749,99",Emili  Mcdonald,Tadoo,GeForce GTX 590 Classified
145,30/09/2011,06/10/2011,"975,84",573,1,"200,2","200,2",Maria  Yang,Spoint Sistemas de Informação,PCI Express 2.0 2DVI
77,28/05/2011,29/05/2011,"370,48",320,1,"749,99","749,99",Maria  Yang,Kaify,GeForce GTX 590 Classified
60,19/04/2011,23/04/2011,"1239,84",254,2,"400,4","200,2",José  Gardner,Kaify,PCI Express 2.0 2DVI
6,17/01/2011,18/01/2011,"4784,35",41,1,"49,99","49,99",Benedito  Perry,Kaify,Inch Midtower Case
171,06/11/2011,07/11/2011,"170,53",660,1,39,39,José  Gardner,Triloo Assistência Técnica,USB Portable Sound Card / Dac
72,17/05/2011,19/05/2011,"947,35",300,1,"49,99","49,99",Maria  Yang,Kaify,Inch Midtower Case
137,06/09/2011,07/09/2011,"947,35",545,1,399,399,Emili  Mcdonald,Truing Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
125,05/08/2011,09/08/2011,"435,92",500,1,"61,98","61,98",José  Gardner,Spoint Sistemas de Informação,ATX Motherboard
151,10/10/2011,12/10/2011,"1282,36",599,6,2394,399,Aladdin  Blackwell,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
86,08/06/2011,14/06/2011,"779,25",350,1,399,399,Emili  Mcdonald,Truing Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
119,28/07/2011,29/07/2011,"347,14",477,2,"17,98","8,99",Emili  Mcdonald,Kaify,Cooler Master Red LED Case Fan
41,27/03/2011,29/03/2011,"747,47",191,2,"99,98","49,99",Emili  Mcdonald,Triloo Assistência Técnica,Inch Midtower Case
88,12/06/2011,15/06/2011,"898,44",360,1,"749,99","749,99",Maria  Yang,Truing Tecnologia,GeForce GTX 590 Classified
3,15/01/2011,18/01/2011,14228,17,2,798,399,Maria  Yang,Mecabox Info,i7-2700K 3.5 GHz LGA 1155 Processor
142,21/09/2011,22/09/2011,"2151,09",561,2,"99,98","49,99",José  Gardner,Roozio Informática,Inch Midtower Case
134,01/09/2011,04/09/2011,"3584,46",529,2,"99,98","49,99",Emili  Mcdonald,Kaify,Inch Midtower Case
14,05/02/2011,09/02/2011,"3917,35",78,2,"1499,98","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
161,27/10/2011,29/10/2011,"479,96",627,2,"99,98","49,99",Emili  Mcdonald,Kaify,Inch Midtower Case
120,28/07/2011,29/07/2011,"1099,01",482,6,"1201,2","200,2",Maria  Yang,Truing Tecnologia,PCI Express 2.0 2DVI
162,28/10/2011,29/10/2011,"163,17",629,1,"61,98","61,98",Emili  Mcdonald,Truing Tecnologia,ATX Motherboard
82,03/06/2011,04/06/2011,"1163,87",337,6,"4499,94","749,99",Aladdin  Blackwell,Kaify,GeForce GTX 590 Classified
55,09/04/2011,11/04/2011,"566,09",239,1,"8,99","8,99",José  Gardner,Tadoo,Cooler Master Red LED Case Fan
58,15/04/2011,16/04/2011,"1965,82",247,1,"61,98","61,98",Maria  Yang,Triloo Assistência Técnica,ATX Motherboard
122,03/08/2011,06/08/2011,"2594,5",491,3,"2249,97","749,99",Emili  Mcdonald,Digister,GeForce GTX 590 Classified
37,16/03/2011,19/03/2011,"462,71",177,3,"2249,97","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
89,13/06/2011,16/06/2011,"660,65",362,1,399,399,Emili  Mcdonald,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
13,04/02/2011,07/02/2011,"2755,68",69,1,"61,98","61,98",Maria  Yang,Kaify,ATX Motherboard
17,14/02/2011,20/02/2011,"380,32",99,1,"200,2","200,2",Emili  Mcdonald,Spoint Sistemas de Informação,PCI Express 2.0 2DVI
